Designator,Mid X,Mid Y,Rotation,Layer
C42,134.0417,-245.7142,72.0,top
C47,102.4798,-207.0232,36.0,top
C52,99.6877,-157.17,0.0,top
C57,126.7318,-115.1967,324.0,top
C62,173.2823,-97.1358,288.0,top
C67,221.5583,-109.8858,252.0,top
C72,253.1202,-148.5768,216.0,top
C77,255.9123,-198.43,180.0,top
C82,228.8682,-240.4033,144.0,top
C87,182.3177,-258.4642,108.0,top
J10,105.7058,-193.2,90.0,bottom
J11,128.52645113958596,-122.96520772822697,126.0,bottom
J12,110.42265113958597,-147.883007728227,126.0,bottom
J13,170.1679319461641,-104.47540664044173,162.0,bottom
J14,140.8754319461641,-113.99310664044172,162.0,bottom
J15,214.7246319461641,-113.99319335955828,198.0,bottom
J16,185.4321319461641,-104.47539335955827,198.0,bottom
J17,245.17735033056897,-147.8828928595583,234.0,bottom
J18,227.07355033056896,-122.96519285955827,234.0,bottom
J19,249.8942,-193.2,270.0,bottom
J20,249.8942,-162.4,270.0,bottom
J21,227.07354886041404,-232.63479227177302,306.0,bottom
J22,245.177348860414,-207.71699227177302,306.0,bottom
J23,185.4320680538359,-251.12459335955828,342.0,bottom
J24,214.7245680538359,-241.60689335955828,342.0,bottom
J25,96.0,-72.283,0.0,top
J5,140.8753680538359,-241.6068066404417,18.0,bottom
J6,170.1678680538359,-251.12460664044173,18.0,bottom
J7,110.42264966943101,-207.71710714044173,54.0,bottom
J8,128.526449669431,-232.63480714044172,54.0,bottom
J9,105.7058,-162.4,90.0,bottom
SW1,116.3598,-71.29,180.0,top
